id,name,longitude,latitude,distance,rate,kinds,country
5670263,Севан,39.9839897,43.3909378,6563.18862093,1,"accomodations,other_hotels",Россия
1794131,гостиница фрегат 2,39.9853172,43.391964,6576.95941159,2,"accomodations,other_hotels",Россия
9954887,Hotel Veseloye,39.9961624,43.4054146,6588.26168684,1,"accomodations,other_hotels",Россия
1794457,гостевои дом оптима,39.8902664,43.4832954,6617.7537571,2,"accomodations,guest_houses",Россия
9515277,база отдыха адлер,39.9832611,43.3893852,6627.99485161,2,"accomodations,resorts",Россия
1794130,апарт-отель сертиди,39.9863663,43.3918533,6651.92261781,2,"accomodations,other_hotels",Россия
9635967,Голд энд Гласс,39.8975754,43.4854279,6645.18954833,1,"guest_houses,accomodations",Россия
1794456,отель престиж,39.8897285,43.4835205,6657.44653301,2,"accomodations,other_hotels",Россия
9954888,Ост,39.997673,43.4060364,6675.71841745,1,"accomodations,other_hotels",Россия
1794503,Неля,39.8914261,43.4840279,6658.72386117,1,"guest_houses,accomodations",Россия
1794505,Бамбук,39.8942909,43.4849739,6678.2287737,1,"accomodations,hostels",Россия
5670257,Дельфин,39.9874077,43.3922462,6693.10995097,1,"guest_houses,accomodations",Россия
9635948,Кристи,39.9871826,43.3919868,6695.90896061,1,"guest_houses,accomodations",Россия
1794133,отель три пальмы,39.9865799,43.3914032,6696.17911342,2,"accomodations,guest_houses",Россия
5670355,Жанна,39.8912659,43.4842987,6691.47164059,1,"guest_houses,accomodations",Россия
9644155,Солнечный берег,39.9876785,43.3923225,6705.61067976,1,"guest_houses,accomodations",Россия
1794132,На Таврической,39.9860725,43.3906097,6717.72360552,2,"accomodations,guest_houses",Россия
9644156,Кристи,39.9877701,43.392025,6731.46652292,1,"guest_houses,accomodations",Россия
1794142,Русь,39.9879189,43.3921585,6732.2302958,2,"accomodations,other_hotels",Россия
9954900,гриф,39.8924255,43.4850693,6738.4972877,2,"accomodations,other_hotels",Россия
1794143,гостевои дом лемонграсс,39.9880257,43.3918266,6761.10979294,2,"accomodations,guest_houses",Россия
1794504,Звездный,39.8922272,43.4852371,6761.75545396,1,"guest_houses,accomodations",Россия
