id,xid,name,longitude,latitude,distance,rate,osm,kinds,country
5667722,W223948933,Анапа Апарт-отель,37.3011093,44.8938713,1199.89241384,1,way/223948933,"accomodations,other_hotels",Unknown
1770417,R7192796,"Санаторий ""ДиЛуч""",37.3016624,44.8916855,1209.45953391,1,relation/7192796,"accomodations,other_hotels",Unknown
9580130,W977561467,Корпус №7,37.3016243,44.891758,1209.61526923,1,way/977561467,"accomodations,other_hotels",Unknown
1770411,N4191824245,гостевои дом мечта,37.3038635,44.8885956,1213.3166235,2,node/4191824245,"accomodations,guest_houses",Unknown
9621060,N9026497790,ВиТа,37.3278351,44.9022446,1214.44547289,1,node/9026497790,"guest_houses,accomodations",Россия
9515145,W136575542,отель золотая бухта,37.3009033,44.8970833,1228.20459603,2,way/136575542,"accomodations,resorts",Россия
9580127,W156055915,Корпус №7,37.3013268,44.891613,1237.14595428,1,way/156055915,"accomodations,other_hotels",Россия
9580132,W125862174,пансионат высокии берег,37.3004608,44.8932571,1259.84351012,2,way/125862174,"accomodations,other_hotels",Россия
1770425,N4242521720,Старый город,37.3009796,44.8906593,1299.60742846,1,node/4242521720,"accomodations,other_hotels",Россия
9544363,N3007996466,Алекс,37.3325348,44.8978996,1327.2235091,1,node/3007996466,"accomodations,other_hotels",Россия
9526899,W125853280,Черное море,37.3036461,44.8871651,1326.93262236,1,way/125853280,"accomodations,other_hotels",Россия
1770519,N1983941961,Иордания,37.3284264,44.8867455,1339.77835015,1,node/1983941961,"guest_houses,accomodations",Россия
1770476,N4185753493,Отель Паланга,37.3186073,44.8830757,1349.55696587,1,node/4185753493,"accomodations,other_hotels",Россия
1770477,W596549178,Янтарь,37.3231888,44.9064713,1379.15048899,1,way/596549178,"accomodations,other_hotels",Россия
1770424,N9045446933,Черная жемчужина,37.299614,44.8907471,1396.69092508,1,node/9045446933,"accomodations,other_hotels",Unknown
9544379,W223302942,Голубая даль,37.3218575,44.9072189,1418.98262326,1,way/223302942,"accomodations,other_hotels",Unknown
5667760,W125170476,катамаран виктория,37.3295593,44.9042206,1463.1116751,2,way/125170476,"accomodations,other_hotels",Unknown
1770391,W654444320,"Санаторий ""Малая бухта""",37.2982216,44.8915672,1473.39707973,1,way/654444320,"accomodations,other_hotels",Unknown
1770416,N4207856264,ЗАО «Санаторий «Малая бухта»,37.2980499,44.8917427,1481.53656263,1,node/4207856264,"accomodations,other_hotels",Unknown
1770690,N4236442090,гостевои дом терская 221,37.3322678,44.9020767,1487.16374719,2,node/4236442090,"accomodations,guest_houses",Unknown
1770665,N8344147063,,37.3220978,44.9078407,1490.36363304,0,node/8344147063,"accomodations,other_hotels",Россия
1770410,W223519441,,37.2992096,44.888958,1505.74715042,0,way/223519441,"accomodations,other_hotels",Россия
1770485,W844151955,,37.320488,44.9082756,1502.89301572,0,way/844151955,"accomodations,other_hotels",Россия
9580142,W844151957,,37.3221092,44.9079781,1505.2860889,0,way/844151957,"accomodations,other_hotels",Россия
9580124,W223519454,,37.2989502,44.8892021,1512.04704773,0,way/223519454,"accomodations,other_hotels",Россия
6224500,W223519320,,37.2993355,44.8885689,1517.26068913,0,way/223519320,"accomodations,other_hotels",Россия
9544365,W977562766,,37.2980843,44.8905144,1519.01841027,0,way/977562766,"accomodations,other_hotels",Россия
1770643,N8344147061,,37.320343,44.9084625,1520.40041536,0,node/8344147061,"accomodations,other_hotels",Россия
9526898,W223519440,,37.2990303,44.8887367,1529.50948936,0,way/223519440,"accomodations,other_hotels",Россия
1770400,N3831304691,Боспор,37.2990723,44.8884468,1541.85040227,1,node/3831304691,"accomodations,other_hotels",Россия
9544375,N8344147064,,37.3215408,44.9084625,1543.59549175,0,node/8344147064,"accomodations,other_hotels",Unknown
1770666,N8344147062,,37.3210487,44.9085655,1544.83878427,0,node/8344147062,"accomodations,other_hotels",Unknown
9580143,W156045619,Второе Leto,37.3220367,44.9084625,1554.92088023,1,way/156045619,"accomodations,other_hotels",Unknown
5667761,W156045802,Спутник,37.3233376,44.9085655,1599.18135072,1,way/156045802,"accomodations,other_hotels",Unknown
9544376,N8344147066,,37.3205757,44.9091644,1600.54548223,0,node/8344147066,"accomodations,other_hotels",Россия
9544377,N8344147065,,37.3210068,44.9091988,1612.30946873,0,node/8344147065,"accomodations,other_hotels",Россия
9544378,N8344147071,Посейдон,37.3216362,44.9091492,1619.22111679,1,node/8344147071,"accomodations,other_hotels",Россия
9544314,N9026497794,Жара,37.3221436,44.9090805,1623.11391036,1,node/9026497794,"accomodations,other_hotels",Россия
1770644,N8344147081,,37.3205376,44.9098778,1677.73732978,0,node/8344147081,"accomodations,other_hotels",Россия
1770645,N4375158889,клуб-отель Золотая бухта,37.3203583,44.9105453,1747.41807806,2,node/4375158889,"accomodations,other_hotels",Россия
1770689,N4210473730,гостиница монарх,37.3337898,44.9047089,1752.41551575,2,node/4210473730,"accomodations,other_hotels",Россия
